"Date","JNJ_Close"
2020-01-02,128.083755493164
2020-01-03,126.600807189941
2020-01-06,126.44287109375
2020-01-07,127.215034484863
2020-01-08,127.197532653809
2020-01-09,127.574806213379
2020-01-10,127.28524017334
2020-01-13,127.846794128418
2020-01-14,128.566314697266
2020-01-15,128.996292114258
2020-01-16,130.040496826172
2020-01-17,130.891632080078
2020-01-21,130.979370117188
2020-01-22,130.08430480957
2020-01-23,130.330047607422
2020-01-24,130.145797729492
2020-01-27,130.523086547852
2020-01-28,131.181182861328
2020-01-29,132.09375
2020-01-30,131.935821533203
2020-01-31,130.628372192383
2020-02-03,131.769088745117
2020-02-04,133.023864746094
2020-02-05,135.121032714844
2020-02-06,134.717407226562
2020-02-07,133.278335571289
2020-02-10,133.252029418945
2020-02-11,133.366058349609
2020-02-12,132.57633972168
2020-02-13,131.698883056641
2020-02-14,131.733993530273
2020-02-18,130.865310668945
2020-02-19,130.689804077148
2020-02-20,130.189651489258
2020-02-21,131.558456420898
2020-02-24,128.847503662109
2020-02-25,127.734817504883
2020-02-26,126.878242492676
2020-02-27,122.85147857666
2020-02-28,118.754096984863
2020-03-02,123.646278381348
2020-03-03,119.73429107666
2020-03-04,126.701667785645
2020-03-05,125.403564453125
2020-03-06,125.421241760254
2020-03-09,120.484901428223
2020-03-10,125.076835632324
2020-03-11,116.387496948242
2020-03-12,110.744720458984
2020-03-13,118.586318969727
2020-03-16,112.263603210449
2020-03-17,120.617347717285
2020-03-18,119.17797088623
2020-03-19,112.19295501709
2020-03-20,105.870223999023
2020-03-23,98.1434478759766
2020-03-24,105.24324798584
2020-03-25,105.437522888184
2020-03-26,111.769081115723
2020-03-27,108.757858276367
2020-03-30,117.456008911133
2020-03-31,115.795837402344
2020-04-01,113.747123718262
2020-04-02,117.579612731934
2020-04-03,118.480316162109
2020-04-06,123.416648864746
2020-04-07,121.403266906738
2020-04-08,126.507392883301
2020-04-09,124.714790344238
2020-04-13,123.425506591797
2020-04-14,128.953460693359
2020-04-15,130.392837524414
