"Date","amgen_Close"
2020-01-02,207.752914428711
2020-01-03,206.342483520508
2020-01-06,207.925964355469
2020-01-07,205.970428466797
2020-01-08,206.12614440918
2020-01-09,206.740493774414
2020-01-10,206.160766601562
2020-01-13,205.001312255859
2020-01-14,207.666366577148
2020-01-15,209.137344360352
2020-01-16,208.098999023438
2020-01-17,208.955627441406
2020-01-21,205.589706420898
2020-01-22,204.854202270508
2020-01-23,203.374588012695
2020-01-24,195.197738647461
2020-01-27,192.913421630859
2020-01-28,194.548782348633
2020-01-29,196.547576904297
2020-01-30,195.682281494141
2020-01-31,186.943023681641
2020-02-03,187.661178588867
2020-02-04,191.926971435547
2020-02-05,200.69221496582
2020-02-06,200.268264770508
2020-02-07,198.433898925781
2020-02-10,196.781219482422
2020-02-11,198.113723754883
2020-02-12,196.417755126953
2020-02-13,194.361251831055
2020-02-14,194.744644165039
2020-02-18,193.184844970703
2020-02-19,194.291519165039
2020-02-20,193.576950073242
2020-02-21,194.143356323242
2020-02-24,189.864715576172
2020-02-25,183.329040527344
2020-02-26,186.954162597656
2020-02-27,177.333694458008
2020-02-28,174.048461914062
2020-03-02,184.915054321289
2020-03-03,178.135391235352
2020-03-04,187.450881958008
2020-03-05,184.845321655273
2020-03-06,183.564361572266
2020-03-09,172.863342285156
2020-03-10,180.209381103516
2020-03-11,173.107391357422
2020-03-12,158.807373046875
2020-03-13,176.113723754883
2020-03-16,164.419281005859
2020-03-17,181.080795288086
2020-03-18,178.536285400391
2020-03-19,173.203186035156
2020-03-20,164.044555664062
2020-03-23,162.022872924805
2020-03-24,176.322845458984
2020-03-25,168.305801391602
2020-03-26,172.967895507812
2020-03-27,172.776184082031
2020-03-30,181.673385620117
2020-03-31,176.662704467773
2020-04-01,172.375335693359
2020-04-02,182.021957397461
2020-04-03,178.998123168945
2020-04-06,184.374801635742
2020-04-07,181.934783935547
2020-04-08,191.006301879883
2020-04-09,190.152313232422
2020-04-13,190.204559326172
2020-04-14,197.637771606445
2020-04-15,193.280685424805
2020-04-16,201.210601806641
2020-04-17,204.757278442383
2020-04-20,206.177719116211
2020-04-21,201.079864501953
2020-04-22,199.807601928711
2020-04-23,202.596130371094
2020-04-24,205.898834228516
2020-04-27,211.257995605469
2020-04-28,207.110046386719
2020-04-29,205.384689331055
2020-04-30,208.460800170898
2020-05-01,201.2802734375
2020-05-04,201.219299316406
2020-05-05,205.968551635742
2020-05-06,206.1689453125
2020-05-07,203.328140258789
2020-05-08,204.626541137695
2020-05-11,211.528182983398
2020-05-12,206.709243774414
2020-05-13,206.378082275391
2020-05-14,207.380233764648
2020-05-15,210.731567382812
2020-05-18,204.581588745117
2020-05-19,199.528244018555
2020-05-20,199.914245605469
2020-05-21,197.203338623047
2020-05-22,198.650909423828
2020-05-26,195.115356445312
2020-05-27,197.229644775391
2020-05-28,196.633102416992
2020-05-29,201.519760131836
2020-06-01,199.072021484375
2020-06-02,196.273406982422
2020-06-03,193.887100219727
2020-06-04,193.781814575195
2020-06-05,197.984161376953
2020-06-08,198.054336547852
2020-06-09,197.308639526367
2020-06-10,199.256271362305
2020-06-11,192.044708251953
2020-06-12,191.167404174805
2020-06-15,192.816772460938
2020-06-16,199.036972045898
2020-06-17,198.247314453125
2020-06-18,202.06364440918
2020-06-19,209.415588378906
2020-06-22,205.458938598633
2020-06-23,206.827499389648
2020-06-24,203.985015869141
2020-06-25,206.266052246094
2020-06-26,204.274505615234
2020-06-29,203.151580810547
2020-06-30,206.92399597168
2020-07-01,223.821151733398
2020-07-02,226.558380126953
2020-07-06,224.8125
2020-07-07,222.092819213867
2020-07-08,220.724212646484
2020-07-09,220.785629272461
2020-07-10,218.487045288086
2020-07-13,219.364379882812
2020-07-14,222.04020690918
2020-07-15,222.233200073242
2020-07-16,223.891342163086
2020-07-17,226.751373291016
2020-07-20,228.935943603516
2020-07-21,226.268890380859
2020-07-22,225.45295715332
2020-07-23,221.294494628906
2020-07-24,217.557098388672
2020-07-27,222.531463623047
2020-07-28,223.952758789062
2020-07-29,218.320373535156
2020-07-30,215.942825317383
2020-07-31,214.653198242188
2020-08-03,217.013168334961
2020-08-04,213.705673217773
2020-08-05,211.845748901367
2020-08-06,211.915954589844
2020-08-07,211.16145324707
2020-08-10,208.950607299805
2020-08-11,205.86247253418
2020-08-12,212.065093994141
2020-08-13,210.959655761719
2020-08-14,211.710403442383
2020-08-17,214.624923706055
2020-08-18,213.291290283203
2020-08-19,212.399307250977
2020-08-20,210.844863891602
2020-08-21,209.88215637207
2020-08-24,208.053970336914
2020-08-25,219.226364135742
2020-08-26,220.957397460938
2020-08-27,223.280227661133
2020-08-28,223.554000854492
2020-08-31,223.730697631836
2020-09-01,221.557998657227
2020-09-02,227.969970703125
2020-09-03,218.952590942383
2020-09-04,219.385330200195
2020-09-08,213.008682250977
2020-09-09,216.88591003418
2020-09-10,212.53173828125
2020-09-11,214.80158996582
2020-09-14,217.928070068359
2020-09-15,219.341186523438
2020-09-16,218.820083618164
2020-09-17,219.102722167969
2020-09-18,218.784790039062
2020-09-21,214.783935546875
2020-09-22,218.590469360352
2020-09-23,214.253982543945
2020-09-24,212.249145507812
2020-09-25,215.340316772461
2020-09-28,218.175354003906
2020-09-29,219.297027587891
2020-09-30,224.472534179688
2020-10-01,225.558883666992
2020-10-02,216.744583129883
2020-10-05,226.1064453125
2020-10-06,223.174240112305
2020-10-07,227.57258605957
2020-10-08,212.046005249023
2020-10-09,209.051956176758
2020-10-12,211.533737182617
2020-10-13,211.383590698242
2020-10-14,209.890991210938
2020-10-15,207.559356689453
2020-10-16,208.186462402344
2020-10-19,203.761642456055
2020-10-20,204.106063842773
2020-10-21,202.224884033203
2020-10-22,201.350524902344
2020-10-23,200.626312255859
