"Date","LLY_Close"
2020-01-02,124.294143676758
2020-01-03,123.880508422852
2020-01-06,124.341148376465
2020-01-07,124.576164245605
2020-01-08,125.704330444336
2020-01-09,127.782028198242
2020-01-10,129.737487792969
2020-01-13,130.621200561523
2020-01-14,132.228805541992
2020-01-15,132.66130065918
2020-01-16,132.962097167969
2020-01-17,131.222854614258
2020-01-21,132.473236083984
2020-01-22,133.084335327148
2020-01-23,132.755310058594
2020-01-24,130.743408203125
2020-01-27,130.028961181641
2020-01-28,130.922058105469
2020-01-29,131.542510986328
2020-01-30,134.127838134766
2020-01-31,131.279312133789
2020-02-03,132.557861328125
2020-02-04,134.851760864258
2020-02-05,138.52766418457
2020-02-06,138.480651855469
2020-02-07,137.643936157227
2020-02-10,136.797821044922
2020-02-11,135.61328125
2020-02-12,134.917572021484
2020-02-13,134.000930786133
2020-02-14,133.358306884766
2020-02-18,133.254364013672
2020-02-19,133.08430480957
2020-02-20,134.18994140625
2020-02-21,134.227722167969
2020-02-24,130.551681518555
2020-02-25,127.962364196777
2020-02-26,126.185775756836
2020-02-27,122.084495544434
2020-02-28,119.192802429199
2020-03-02,125.533752441406
2020-03-03,123.142906188965
2020-03-04,132.659042358398
2020-03-05,132.441696166992
2020-03-06,133.679656982422
2020-03-09,128.255310058594
2020-03-10,133.42448425293
2020-03-11,132.318832397461
2020-03-12,119.088844299316
2020-03-13,131.704559326172
2020-03-16,122.264030456543
2020-03-17,135.32389831543
2020-03-18,135.219970703125
2020-03-19,125.769989013672
2020-03-20,115.667938232422
2020-03-23,112.502182006836
2020-03-24,116.130966186523
2020-03-25,115.233245849609
2020-03-26,126.960662841797
2020-03-27,126.733894348145
2020-03-30,130.825729370117
2020-03-31,131.090362548828
2020-04-01,128.916839599609
2020-04-02,134.360046386719
2020-04-03,131.97868347168
2020-04-06,133.821365356445
2020-04-07,134.076538085938
2020-04-08,138.177825927734
2020-04-09,137.714782714844
2020-04-13,136.476791381836
2020-04-14,142.798873901367
2020-04-15,142.865005493164
2020-04-16,146.219772338867
2020-04-17,148.638977050781
2020-04-20,149.111480712891
2020-04-21,144.273071289062
2020-04-22,148.090896606445
2020-04-23,151.1337890625
2020-04-24,153.96875
2020-04-27,152.418975830078
2020-04-28,148.648452758789
2020-04-29,146.62614440918
2020-04-30,146.134719848633
2020-05-01,145.180267333984
2020-05-04,144.849517822266
2020-05-05,149.205993652344
2020-05-06,148.062515258789
2020-05-07,144.556579589844
2020-05-08,145.066864013672
2020-05-11,149.829666137695
2020-05-12,149.045333862305
2020-05-13,149.243759155273
2020-05-14,150.373626708984
2020-05-15,151.180618286133
2020-05-18,149.974868774414
2020-05-19,148.778533935547
2020-05-20,145.389022827148
2020-05-21,144.581985473633
2020-05-22,143.518630981445
2020-05-26,140.480377197266
2020-05-27,138.334594726562
2020-05-28,143.034362792969
2020-05-29,145.218109130859
2020-06-01,144.743392944336
2020-06-02,146.082138061523
2020-06-03,144.819320678711
2020-06-04,143.091354370117
2020-06-05,141.667205810547
2020-06-08,141.667205810547
2020-06-09,141.591232299805
2020-06-10,143.366714477539
2020-06-11,136.796508789062
2020-06-12,136.283828735352
2020-06-15,134.36589050293
2020-06-16,155.434158325195
2020-06-17,151.883239746094
2020-06-18,152.927642822266
2020-06-19,151.854766845703
2020-06-22,152.338989257812
2020-06-23,151.285095214844
2020-06-24,149.091873168945
2020-06-25,154.627166748047
